Kod,District_code,Nazwa,percent_of_total_deaths
201000,201,Powiat bolesławiecki,7
202000,202,Powiat dzierżoniowski,9.6
203000,203,Powiat głogowski,10.5
204000,204,Powiat górowski,9.2
205000,205,Powiat jaworski,7.7
206000,206,Powiat karkonoski,5
207000,207,Powiat kamiennogórski,5.5
208000,208,Powiat kłodzki,8.6
209000,209,Powiat legnicki,9.1
210000,210,Powiat lubański,8.2
211000,211,Powiat lubiński,7.7
212000,212,Powiat lwówecki,8.8
213000,213,Powiat milicki,6.2
214000,214,Powiat oleśnicki,11.8
215000,215,Powiat oławski,7.6
216000,216,Powiat polkowicki,8.5
217000,217,Powiat strzeliński,8.5
218000,218,Powiat średzki,10.9
219000,219,Powiat świdnicki,6.2
220000,220,Powiat trzebnicki,9.6
221000,221,Powiat wałbrzyski,6.6
222000,222,Powiat wołowski,9.2
223000,223,Powiat wrocławski,11.8
224000,224,Powiat ząbkowicki,5.3
225000,225,Powiat zgorzelecki,6.5
226000,226,Powiat złotoryjski,8.4
261000,261,Powiat m. Jelenia Góra,6.3
262000,262,Powiat m. Legnica,8.1
264000,264,Powiat m. Wrocław,12.6
265000,265,Powiat m. Wałbrzych od 2013,6
401000,401,Powiat aleksandrowski,6.5
402000,402,Powiat brodnicki,5
403000,403,Powiat bydgoski,8.6
404000,404,Powiat chełmiński,6.8
405000,405,Powiat golubsko-dobrzyński,8
406000,406,Powiat grudziądzki,7.1
407000,407,Powiat inowrocławski,7.6
408000,408,Powiat lipnowski,3.9
409000,409,Powiat mogileński,5.5
410000,410,Powiat nakielski,7.2
411000,411,Powiat radziejowski,8.4
412000,412,Powiat rypiński,5.5
413000,413,Powiat sępoleński,7.9
414000,414,Powiat świecki,8
415000,415,Powiat toruński,8.4
416000,416,Powiat tucholski,7.5
417000,417,Powiat wąbrzeski,6.1
418000,418,Powiat włocławski,6.5
419000,419,Powiat żniński,7.1
461000,461,Powiat m. Bydgoszcz,6.9
462000,462,Powiat m. Grudziądz,8
463000,463,Powiat m. Toruń,9.6
464000,464,Powiat m. Włocławek,4.8
601000,601,Powiat bialski,5.4
602000,602,Powiat biłgorajski,4.8
603000,603,Powiat chełmski,4.6
604000,604,Powiat hrubieszowski,2.8
605000,605,Powiat janowski,3.1
606000,606,Powiat krasnostawski,2.6
607000,607,Powiat kraśnicki,6.7
608000,608,Powiat lubartowski,5
609000,609,Powiat lubelski,5.3
610000,610,Powiat łęczyński,7.6
611000,611,Powiat łukowski,6.1
612000,612,Powiat opolski,4.1
613000,613,Powiat parczewski,8.8
614000,614,Powiat puławski,6.2
615000,615,Powiat radzyński,6.5
616000,616,Powiat rycki,4.5
617000,617,Powiat świdnicki,4.4
618000,618,Powiat tomaszowski,3.6
619000,619,Powiat włodawski,3.8
620000,620,Powiat zamojski,5.3
661000,661,Powiat m. Biała Podlaska,8.5
662000,662,Powiat m. Chełm,4.3
663000,663,Powiat m. Lublin,7.5
664000,664,Powiat m. Zamość,4.6
801000,801,Powiat gorzowski,8.2
802000,802,Powiat krośnieński,3.2
803000,803,Powiat międzyrzecki,5.1
804000,804,Powiat nowosolski,5.1
805000,805,Powiat słubicki,4.5
806000,806,Powiat strzelecko-drezdenecki,10.1
807000,807,Powiat sulęciński,3.7
808000,808,Powiat świebodziński,5.3
809000,809,Powiat zielonogórski,4.8
810000,810,Powiat żagański,5.8
812000,812,Powiat wschowski,4.9
861000,861,Powiat m. Gorzów Wielkopolski,7.7
862000,862,Powiat m. Zielona Góra,4.5
1001000,1001,Powiat bełchatowski,6.6
1002000,1002,Powiat kutnowski,10.4
1003000,1003,Powiat łaski,4.9
1004000,1004,Powiat łęczycki,6.7
1005000,1005,Powiat łowicki,7.5
1006000,1006,Powiat łódzki wschodni,9.3
1007000,1007,Powiat opoczyński,8
1008000,1008,Powiat pabianicki,8.7
1009000,1009,Powiat pajęczański,9.4
1010000,1010,Powiat piotrkowski,8.4
1011000,1011,Powiat poddębicki,6.5
1012000,1012,Powiat radomszczański,7.3
1013000,1013,Powiat rawski,7.4
1014000,1014,Powiat sieradzki,9.3
1015000,1015,Powiat skierniewicki,8.5
1016000,1016,Powiat tomaszowski,10.4
1017000,1017,Powiat wieluński,7.2
1018000,1018,Powiat wieruszowski,3.4
1019000,1019,Powiat zduńskowolski,10.2
1020000,1020,Powiat zgierski,10.1
1021000,1021,Powiat brzeziński,12.4
1061000,1061,Powiat m. Łódź,10.6
1062000,1062,Powiat m. Piotrków Trybunalski,8.4
1063000,1063,Powiat m. Skierniewice,8.3
1201000,1201,Powiat bocheński,6
1202000,1202,Powiat brzeski,4.5
1203000,1203,Powiat chrzanowski,8
1204000,1204,Powiat dąbrowski,7.2
1205000,1205,Powiat gorlicki,5.4
1206000,1206,Powiat krakowski,5.6
1207000,1207,Powiat limanowski,5.8
1208000,1208,Powiat miechowski,6
1209000,1209,Powiat myślenicki,5.2
1210000,1210,Powiat nowosądecki,5.2
1211000,1211,Powiat nowotarski,7.1
1212000,1212,Powiat olkuski,6.2
1213000,1213,Powiat oświęcimski,8.7
1214000,1214,Powiat proszowicki,7.6
1215000,1215,Powiat suski,5.4
1216000,1216,Powiat tarnowski,5.9
1217000,1217,Powiat tatrzański,5.9
1218000,1218,Powiat wadowicki,3.5
1219000,1219,Powiat wielicki,6.3
1261000,1261,Powiat m. Kraków,5.1
1262000,1262,Powiat m. Nowy Sącz,5.4
1263000,1263,Powiat m. Tarnów,6.9
1401000,1401,Powiat białobrzeski,7
1402000,1402,Powiat ciechanowski,6.5
1403000,1403,Powiat garwoliński,7.6
1404000,1404,Powiat gostyniński,7.8
1405000,1405,Powiat grodziski,8.7
1406000,1406,Powiat grójecki,5.4
1407000,1407,Powiat kozienicki,5.9
1408000,1408,Powiat legionowski,7.6
1409000,1409,Powiat lipski,6.4
1410000,1410,Powiat łosicki,7.3
1411000,1411,Powiat makowski,6.4
1412000,1412,Powiat miński,11.7
