"Kod";"Nazwa";"choroby układu oddechowego ogółem;2023;[%]";
0000000;"POLSKA";7,4;
0200000;"DOLNOŚLĄSKIE";9,0;
0201000;"Powiat bolesławiecki";7,0;
0202000;"Powiat dzierżoniowski";9,6;
0203000;"Powiat głogowski";10,5;
0204000;"Powiat górowski";9,2;
0205000;"Powiat jaworski";7,7;
0206000;"Powiat karkonoski";5,0;
0207000;"Powiat kamiennogórski";5,5;
0208000;"Powiat kłodzki";8,6;
0209000;"Powiat legnicki";9,1;
0210000;"Powiat lubański";8,2;
0211000;"Powiat lubiński";7,7;
0212000;"Powiat lwówecki";8,8;
0213000;"Powiat milicki";6,2;
0214000;"Powiat oleśnicki";11,8;
0215000;"Powiat oławski";7,6;
0216000;"Powiat polkowicki";8,5;
0217000;"Powiat strzeliński";8,5;
0218000;"Powiat średzki";10,9;
0219000;"Powiat świdnicki";6,2;
0220000;"Powiat trzebnicki";9,6;
0221000;"Powiat wałbrzyski";6,6;
0222000;"Powiat wołowski";9,2;
0223000;"Powiat wrocławski";11,8;
0224000;"Powiat ząbkowicki";5,3;
0225000;"Powiat zgorzelecki";6,5;
0226000;"Powiat złotoryjski";8,4;
0261000;"Powiat m. Jelenia Góra";6,3;
0262000;"Powiat m. Legnica";8,1;
0264000;"Powiat m. Wrocław";12,6;
0265000;"Powiat m. Wałbrzych od 2013";6,0;
0400000;"KUJAWSKO-POMORSKIE";7,1;
0401000;"Powiat aleksandrowski";6,5;
0402000;"Powiat brodnicki";5,0;
0403000;"Powiat bydgoski";8,6;
0404000;"Powiat chełmiński";6,8;
0405000;"Powiat golubsko-dobrzyński";8,0;
0406000;"Powiat grudziądzki";7,1;
0407000;"Powiat inowrocławski";7,6;
0408000;"Powiat lipnowski";3,9;
0409000;"Powiat mogileński";5,5;
0410000;"Powiat nakielski";7,2;
0411000;"Powiat radziejowski";8,4;
0412000;"Powiat rypiński";5,5;
0413000;"Powiat sępoleński";7,9;
0414000;"Powiat świecki";8,0;
0415000;"Powiat toruński";8,4;
0416000;"Powiat tucholski";7,5;
0417000;"Powiat wąbrzeski";6,1;
0418000;"Powiat włocławski";6,5;
0419000;"Powiat żniński";7,1;
0461000;"Powiat m. Bydgoszcz";6,9;
0462000;"Powiat m. Grudziądz";8,0;
0463000;"Powiat m. Toruń";9,6;
0464000;"Powiat m. Włocławek";4,8;
0600000;"LUBELSKIE";5,5;
0601000;"Powiat bialski";5,4;
0602000;"Powiat biłgorajski";4,8;
0603000;"Powiat chełmski";4,6;
0604000;"Powiat hrubieszowski";2,8;
0605000;"Powiat janowski";3,1;
0606000;"Powiat krasnostawski";2,6;
0607000;"Powiat kraśnicki";6,7;
0608000;"Powiat lubartowski";5,0;
0609000;"Powiat lubelski";5,3;
0610000;"Powiat łęczyński";7,6;
0611000;"Powiat łukowski";6,1;
0612000;"Powiat opolski";4,1;
0613000;"Powiat parczewski";8,8;
0614000;"Powiat puławski";6,2;
0615000;"Powiat radzyński";6,5;
0616000;"Powiat rycki";4,5;
0617000;"Powiat świdnicki";4,4;
0618000;"Powiat tomaszowski";3,6;
0619000;"Powiat włodawski";3,8;
0620000;"Powiat zamojski";5,3;
0661000;"Powiat m. Biała Podlaska";8,5;
0662000;"Powiat m. Chełm";4,3;
0663000;"Powiat m. Lublin";7,5;
0664000;"Powiat m. Zamość";4,6;
0800000;"LUBUSKIE";5,6;
0801000;"Powiat gorzowski";8,2;
0802000;"Powiat krośnieński";3,2;
0803000;"Powiat międzyrzecki";5,1;
0804000;"Powiat nowosolski";5,1;
0805000;"Powiat słubicki";4,5;
0806000;"Powiat strzelecko-drezdenecki";10,1;
0807000;"Powiat sulęciński";3,7;
0808000;"Powiat świebodziński";5,3;
0809000;"Powiat zielonogórski";4,8;
0810000;"Powiat żagański";5,8;
0811000;"Powiat żarski";4,8;
0812000;"Powiat wschowski";4,9;
0861000;"Powiat m. Gorzów Wielkopolski";7,7;
0862000;"Powiat m. Zielona Góra";4,5;
1000000;"ŁÓDZKIE";9,1;
1001000;"Powiat bełchatowski";6,6;
1002000;"Powiat kutnowski";10,4;
1003000;"Powiat łaski";4,9;
1004000;"Powiat łęczycki";6,7;
1005000;"Powiat łowicki";7,5;
1006000;"Powiat łódzki wschodni";9,3;
1007000;"Powiat opoczyński";8,0;
1008000;"Powiat pabianicki";8,7;
1009000;"Powiat pajęczański";9,4;
1010000;"Powiat piotrkowski";8,4;
1011000;"Powiat poddębicki";6,5;
1012000;"Powiat radomszczański";7,3;
1013000;"Powiat rawski";7,4;
1014000;"Powiat sieradzki";9,3;
1015000;"Powiat skierniewicki";8,5;
1016000;"Powiat tomaszowski";10,4;
1017000;"Powiat wieluński";7,2;
1018000;"Powiat wieruszowski";3,4;
1019000;"Powiat zduńskowolski";10,2;
1020000;"Powiat zgierski";10,1;
1021000;"Powiat brzeziński";12,4;
1061000;"Powiat m. Łódź";10,6;
1062000;"Powiat m. Piotrków Trybunalski";8,4;
1063000;"Powiat m. Skierniewice";8,3;
1200000;"MAŁOPOLSKIE";5,8;
1201000;"Powiat bocheński";6,0;
1202000;"Powiat brzeski";4,5;
1203000;"Powiat chrzanowski";8,0;
1204000;"Powiat dąbrowski";7,2;
1205000;"Powiat gorlicki";5,4;
1206000;"Powiat krakowski";5,6;
1207000;"Powiat limanowski";5,8;
1208000;"Powiat miechowski";6,0;
1209000;"Powiat myślenicki";5,2;
1210000;"Powiat nowosądecki";5,2;
1211000;"Powiat nowotarski";7,1;
1212000;"Powiat olkuski";6,2;
1213000;"Powiat oświęcimski";8,7;
1214000;"Powiat proszowicki";7,6;
1215000;"Powiat suski";5,4;
1216000;"Powiat tarnowski";5,9;
1217000;"Powiat tatrzański";5,9;
1218000;"Powiat wadowicki";3,5;
1219000;"Powiat wielicki";6,3;
1261000;"Powiat m. Kraków";5,1;
1262000;"Powiat m. Nowy Sącz";5,4;
1263000;"Powiat m. Tarnów";6,9;
1400000;"MAZOWIECKIE";8,9;
1401000;"Powiat białobrzeski";7,0;
1402000;"Powiat ciechanowski";6,5;
1403000;"Powiat garwoliński";7,6;
1404000;"Powiat gostyniński";7,8;
1405000;"Powiat grodziski";8,7;
1406000;"Powiat grójecki";5,4;
1407000;"Powiat kozienicki";5,9;
1408000;"Powiat legionowski";7,6;
1409000;"Powiat lipski";6,4;
1410000;"Powiat łosicki";7,3;
1411000;"Powiat makowski";6,4;
1412000;"Powiat miński";11,7;
1413000;"Powiat mławski";4,8;
1414000;"Powiat nowodworski";5,6;
1415000;"Powiat ostrołęcki";5,8;
1416000;"Powiat ostrowski";8,1;
1417000;"Powiat otwocki";10,4;
1418000;"Powiat piaseczyński";8,9;
1419000;"Powiat płocki";8,6;
1420000;"Powiat płoński";9,5;
1421000;"Powiat pruszkowski";7,7;
1422000;"Powiat przasnyski";7,0;
1423000;"Powiat przysuski";5,6;
1424000;"Powiat pułtuski";7,3;
1425000;"Powiat radomski";5,6;
1426000;"Powiat siedlecki";7,6;
1427000;"Powiat sierpecki";8,5;
1428000;"Powiat sochaczewski";9,2;
1429000;"Powiat sokołowski";7,8;
1430000;"Powiat szydłowiecki";7,8;
1432000;"Powiat warszawski zachodni";9,4;
1433000;"Powiat węgrowski";7,7;
1434000;"Powiat wołomiński";12,2;
1435000;"Powiat wyszkowski";10,0;
1436000;"Powiat zwoleński";4,5;
1437000;"Powiat żuromiński";6,3;
1438000;"Powiat żyrardowski";6,5;
1461000;"Powiat m. Ostrołęka";5,5;
1462000;"Powiat m. Płock";11,0;
1463000;"Powiat m. Radom";6,0;
1464000;"Powiat m. Siedlce";8,3;
1465000;"Powiat m. st. Warszawa";10,6;
1600000;"OPOLSKIE";6,5;
1601000;"Powiat brzeski";4,9;
1602000;"Powiat głubczycki";7,9;
1603000;"Powiat kędzierzyńsko-kozielski";6,3;
1604000;"Powiat kluczborski";5,1;
1605000;"Powiat krapkowicki";5,9;
1606000;"Powiat namysłowski";7,0;
1607000;"Powiat nyski";6,1;
1608000;"Powiat oleski";7,7;
1609000;"Powiat opolski";7,2;
1610000;"Powiat prudnicki";6,2;
1611000;"Powiat strzelecki";5,7;
1661000;"Powiat m. Opole";8,0;
1800000;"PODKARPACKIE";7,5;
1801000;"Powiat bieszczadzki";4,5;
1802000;"Powiat brzozowski";5,7;
1803000;"Powiat dębicki";6,9;
1804000;"Powiat jarosławski";4,9;
1805000;"Powiat jasielski";7,3;
1806000;"Powiat kolbuszowski";5,3;
1807000;"Powiat krośnieński";6,9;
1808000;"Powiat leżajski";5,4;
1809000;"Powiat lubaczowski";6,3;
1810000;"Powiat łańcucki";10,2;
1811000;"Powiat mielecki";8,5;
1812000;"Powiat niżański";5,5;
1813000;"Powiat przemyski";7,4;
1814000;"Powiat przeworski";8,2;
1815000;"Powiat ropczycko-sędziszowski";7,3;
1816000;"Powiat rzeszowski";8,0;
1817000;"Powiat sanocki";9,0;
1818000;"Powiat stalowowolski";7,2;
1819000;"Powiat strzyżowski";10,4;
1820000;"Powiat tarnobrzeski";5,5;
1821000;"Powiat leski";12,3;
1861000;"Powiat m. Krosno";9,5;
1862000;"Powiat m. Przemyśl";4,7;
1863000;"Powiat m. Rzeszów";9,7;
1864000;"Powiat m. Tarnobrzeg";7,2;
2000000;"PODLASKIE";6,8;
